Back to 3000 ELO,
https://youtu.be/Ytkf3qZTj74?si=NiEwbHk7fr1TAizH&t=15,https://www.chess.com/game/live/5640593191?username=senseidanya
https://youtu.be/HiCeU8tIh0U?si=d8EMRZx0cccZMgZ0&t=7,https://www.chess.com/game/live/5640642915?username=senseidanya
https://youtu.be/3knyQ8z7lrQ?si=JyUsG9m5zhYOkzLs&t=7,https://www.chess.com/game/live/5640733433?username=senseidanya
https://youtu.be/aEKSPFwvFoY?si=91e31Iov3yVFd97l&t=7,https://www.chess.com/game/live/5650690441?username=senseidanya
https://youtu.be/aEKSPFwvFoY?si=2a4_pwlkxK-0g_Wa&t=805,https://www.chess.com/game/live/5650743961?username=senseidanya
https://youtu.be/PHAmfkkrSSs?si=yV0v8-Lunywayomy&t=7,https://www.chess.com/game/live/5650922698?username=senseidanya
https://youtu.be/PHAmfkkrSSs?si=vqhs5sU5isU8Sj24&t=1043,https://www.chess.com/game/live/5650981817?username=senseidanya
https://youtu.be/js6ZLkfXwEg?si=oQag-Z-b1vZbI9Zb&t=7,https://www.chess.com/game/live/5650832164?username=senseidanya
https://youtu.be/HVKBVYhxpEY?si=IpO_9CKmjIUuTSw3&t=37,https://www.chess.com/game/live/5677896317?username=senseidanya
https://youtu.be/HVKBVYhxpEY?si=eX2cOqFAFLPqIojb&t=986,https://www.chess.com/game/live/5677953858?username=senseidanya
https://youtu.be/hzotV0aslmY?si=HhSmS7wE5LekrxE4&t=10,https://www.chess.com/game/live/5678422182?username=senseidanya
https://youtu.be/hzotV0aslmY?si=r0MIfIGc6aGN2qeh&t=1076,https://www.chess.com/game/live/5678484027?username=senseidanya
https://youtu.be/hzotV0aslmY?si=MvampbrfAoaohTYO&t=1949,https://www.chess.com/game/live/5678526234?username=senseidanya
https://youtu.be/33EpuPv4ULw?si=B4RfkDted_DUmTQg&t=77,https://www.chess.com/game/live/5710916249?username=senseidanya
https://youtu.be/33EpuPv4ULw?si=I3YHODg1vQOtnDon&t=443,https://www.chess.com/game/live/5710935107?username=senseidanya
https://youtu.be/33EpuPv4ULw?si=Abp4e3piujcL_foW&t=731,https://www.chess.com/game/live/5710952030?username=senseidanya
https://youtu.be/QJ3YfBMrVls?si=D2XEybMrzdjnnRyW&t=112,https://www.chess.com/game/live/5714710183?username=senseidanya
https://youtu.be/QJ3YfBMrVls?si=BDNf1J7KCj54o_QE&t=469,https://www.chess.com/game/live/5714744499?username=senseidanya
https://youtu.be/QJ3YfBMrVls?si=3Sj7FcnR3o3fPo4b&t=750,https://www.chess.com/game/live/5714790324?username=senseidanya
https://youtu.be/nsG9XSdGkj8?si=4sXjzOlYOrJe4l3p&t=59,https://www.chess.com/game/live/5715196642?username=senseidanya
https://youtu.be/nsG9XSdGkj8?si=uYbbCoPfIaKKPQZw&t=547,https://www.chess.com/game/live/5715241675?username=senseidanya
https://youtu.be/uuDQbMlXeDQ?si=bfHtXO7qNO4bxM_c&t=17,https://www.chess.com/game/live/5729997720?username=senseidanya
https://youtu.be/uuDQbMlXeDQ?si=8eg2ejMUa2_KYm6A&t=222,https://www.chess.com/game/live/5730009049?username=senseidanya
https://youtu.be/uuDQbMlXeDQ?si=s5UtNQnnvqnG8fQ0&t=533,https://www.chess.com/game/live/5730025718?username=senseidanya
https://youtu.be/Wgl8OsI1dB4?si=-dnm2phCVOUTVdU0&t=14,https://www.chess.com/game/live/5730111045?username=senseidanya
https://youtu.be/Wgl8OsI1dB4?si=7NOhk1IXFKTxSVay&t=608,https://www.chess.com/game/live/5730143625?username=senseidanya
https://youtu.be/qlEZdH3nEZs?si=EvdVQYaheOcQHw4r&t=33,https://www.chess.com/game/live/5736315600?username=senseidanya
https://youtu.be/qlEZdH3nEZs?si=8V-X3HYY_61z4cyE&t=409,https://www.chess.com/game/live/5736336337?username=senseidanya
https://youtu.be/qlEZdH3nEZs?si=SncqS2yo1GjoAolc&t=848,https://www.chess.com/game/live/5736360727?username=senseidanya
https://youtu.be/8EZYSq6c_hg?si=H1zp8dNLocxMiFOn&t=78,https://www.chess.com/game/live/5736444903?username=senseidanya
https://youtu.be/8EZYSq6c_hg?si=T4HoDqm_5DKzDVaa&t=405,https://www.chess.com/game/live/5736459350?username=senseidanya
https://youtu.be/8EZYSq6c_hg?si=f9RXySjYmk9c9P_B&t=531,https://www.chess.com/game/live/5736469357?username=senseidanya
https://youtu.be/8EZYSq6c_hg?si=XzA5cj8u8YH0zPjd&t=937,https://www.chess.com/game/live/5736490604?username=senseidanya
https://youtu.be/8EZYSq6c_hg?si=xyHFA2KsG-NmP5bs&t=1736,https://www.chess.com/game/live/5736544768?username=senseidanya
https://youtu.be/WM0vlYWi33I?si=pPCzdd-ybnralLUe&t=18,https://www.chess.com/game/live/5748587123?username=senseidanya
https://youtu.be/WM0vlYWi33I?si=yK9j6qjGIpIULgas&t=646,https://www.chess.com/game/live/5748623658?username=senseidanya
https://youtu.be/WM0vlYWi33I?si=U05fwNzdGh7sPeQt&t=1156,https://www.chess.com/game/live/5748653168?username=senseidanya
https://youtu.be/iwCO5bNiuNw?si=doG-xpUy4Gf0Y1Vi&t=11,https://www.chess.com/game/live/5748724650?username=senseidanya
https://youtu.be/iwCO5bNiuNw?si=5Q-j8Q76WizY0FlL&t=789,https://www.chess.com/game/live/5748771991?username=senseidanya
https://youtu.be/iwCO5bNiuNw?si=QMxHo8bMkPCMZMvc&t=1025,https://www.chess.com/game/live/5748786584?username=senseidanya
https://youtu.be/oH407-a1v-4?si=D1peEcfjlUf9teU_&t=55,https://www.chess.com/game/live/5761035450?username=senseidanya
https://youtu.be/oH407-a1v-4?si=e_3jOpD8R4eIqdtY&t=521,https://www.chess.com/game/live/5761061704?username=senseidanya
https://youtu.be/oH407-a1v-4?si=E8y18T0pR_9jnKQL&t=1171,https://www.chess.com/game/live/5761108987?username=senseidanya
https://youtu.be/xoS71OW-Re0?si=eUd5k-9W_pkwHQza&t=8,https://www.chess.com/game/live/5761167848?username=senseidanya
https://youtu.be/xoS71OW-Re0?si=LzeIWVHYTP-VjeKp&t=796,https://www.chess.com/game/live/5761211634?username=senseidanya
https://youtu.be/xoS71OW-Re0?si=g2kRlZKW9aHoihVL&t=1435,https://www.chess.com/game/live/5761247293?username=senseidanya
https://youtu.be/lWVZLZdQHcY?si=ocjoGEYP1PTBJzQ1&t=20,https://www.chess.com/game/live/5774908570?username=senseidanya
https://youtu.be/lWVZLZdQHcY?si=IOZfsT7Die-P4-18&t=408,https://www.chess.com/game/live/5774931075?username=senseidanya
https://youtu.be/cdEASsRLWcg?si=js5-NBJ3apEa9H2G&t=9,https://www.chess.com/game/live/5775052599?username=senseidanya
https://youtu.be/cdEASsRLWcg?si=VIeTq-I6ZK1IsiFQ&t=1311,https://www.chess.com/game/live/5775130210?username=senseidanya
