The Sensei Speedrun,
https://youtu.be/sfjI4jEY58s?si=1uMD6F3EaYIiCeRc&t=29,https://www.chess.com/game/live/32227227117?username=senseidanya
https://youtu.be/MvaAX4pTvYU?si=J7t2xhq7UbykcKVp&t=10,https://www.chess.com/game/live/32764215509?username=senseidanya
https://youtu.be/1671V8LrEwk?si=9Ojh0w4DHow-KF3b&t=21,https://www.chess.com/game/live/33116376041?username=senseidanya
https://youtu.be/vzR7wHdNuOU?si=X2JwuSD1q4xP3P0S&t=18,https://www.chess.com/game/live/33531565071?username=senseidanya
https://youtu.be/vMY6Wr3niUg?si=SP50EFr9Z7DsSv_U&t=7,https://www.chess.com/game/live/33532163655?username=senseidanya
https://youtu.be/uJro3yCDEgk?si=csNjgq3aKa5c8LsQ&t=13,https://www.chess.com/game/live/33534012691?username=senseidanya
https://youtu.be/k9EmWn_MvQc?si=5YuIRXYwmijoxU6l&t=11,https://www.chess.com/game/live/33962944691?username=senseidanya
https://youtu.be/Qkv7D-BGAt4?si=o2fpSnJWZGjZPMZF&t=33,https://www.chess.com/game/live/34134592331?username=senseidanya
https://youtu.be/lLkqjBOGgek?si=hS_3TJbTZy3nZXP9&t=9,https://www.chess.com/game/live/34136336539?username=senseidanya
https://youtu.be/wrk4e6bGi1Y?si=FRcKFL4dAOjMRT9J&t=9,https://www.chess.com/game/live/35022579017?username=senseidanya
https://youtu.be/wrk4e6bGi1Y?si=hqWRLgV35QUaLH2n&t=704,https://www.chess.com/game/live/35023247959?username=senseidanya
https://youtu.be/iZyf2oBcR9Q?si=ku1-LQkmetD-qtJY&t=8,https://www.chess.com/game/live/35025618955?username=senseidanya
https://youtu.be/4Y88u0Qjd5s?si=5pvhKOMddLHHHWWo&t=8,https://www.chess.com/game/live/35028617903?username=senseidanya
https://youtu.be/BzN6MEleBlQ?si=9sZiZUf16GHFTLPp&t=8,https://www.chess.com/game/live/35180824567?username=senseidanya
https://youtu.be/gcx89fY8nZQ?si=BuL67EDIjoTj3G4I&t=41,https://www.chess.com/game/live/35185625479?username=senseidanya
https://youtu.be/Qewug63GIqc?si=ZKLmr-WAXwcETtMD&t=8,https://www.chess.com/game/live/35580443645?username=senseidanya
https://youtu.be/o29kg7LLAVg?si=4qI0FLAIIOI8xZEd&t=9,https://www.chess.com/game/live/35798187101?username=senseidanya
https://youtu.be/KwbAHRLJ1RY?si=qOcoW9kIWZ0M--1P&t=7,https://www.chess.com/game/live/35884145475?username=senseidanya
https://youtu.be/IMBSR0A9nJs?si=NN1dZmat6mfdG4ge&t=5,https://www.chess.com/game/live/36314347539?username=senseidanya
https://youtu.be/u6uLgifbn5I?si=ZkacUHdOZuJlI8sx&t=63,https://www.chess.com/game/live/36488977513?username=senseidanya
https://youtu.be/NqtT3roFaBs?si=3SmDrAHHTprqTmNL&t=10,https://www.chess.com/game/live/36489664495?username=senseidanya
https://youtu.be/YFoByIzKGUk?si=V6EwTTvo5aAGgwV6&t=18,https://www.chess.com/game/live/36829799243?username=senseidanya
https://youtu.be/cKeN_oR3VEA?si=_KtjCtJ37MNJECBG&t=11,https://www.chess.com/game/live/37002037031?username=senseidanya
https://youtu.be/hBzXn8Kdaao?si=g-DY2TWnu5QWFtft&t=9,https://www.chess.com/game/live/37089670333?username=senseidanya
https://youtu.be/1tbpB-Qrqds?si=ucWdbJTN1P-wTXCQ,https://www.chess.com/game/live/37260024697?username=senseidanya
https://youtu.be/24yObE8SLzY?si=OKzkbRoAdMDmtNy0&t=9,https://www.chess.com/game/live/37436998741?username=senseidanya
https://youtu.be/tPdiNtdFe98?si=XGJ4U8GuOuhLKblO&t=10,https://www.chess.com/game/live/37438258159?username=senseidanya
https://youtu.be/ieznxMQccW0?si=0a9OVMCZzX-ThdVc&t=8,https://www.chess.com/game/live/37440059759?username=senseidanya
https://youtu.be/jL_wSA6EeY8?si=UW2-X2IhAu9tv8gI&t=9,https://www.chess.com/game/live/37441804843?username=senseidanya
https://youtu.be/HvrXmUORIcQ?si=sufxKDFQKTPLKCWQ&t=57,https://www.chess.com/game/live/37525803175?username=senseidanya
https://youtu.be/D7sbbap9lIc?si=Z6wqGoAc664Dg6KM&t=18,https://www.chess.com/game/live/37606752653?username=senseidanya
https://youtu.be/91lZ8sfu-XU?si=9dEdBbKaI07Kg_2L&t=10,https://www.chess.com/game/live/37607990419?username=senseidanya
https://youtu.be/2cZZQyrF_HU?si=R_FNM0hUxY2Ti9D4&t=8,https://www.chess.com/game/live/37697359207?username=senseidanya
https://youtu.be/WQFcuBCL1F4?si=-7lbjoeDCWs58ka-&t=11,https://www.chess.com/game/live/38478845333?username=senseidanya
